GÖZLEM;DAKÝKA;;;;S A A T;;;;;;;;;
1977;6,6;8,7;10,0;12,2;15,7;20,2;23,4;29,1;32,6;36,1;39,1;50,8;71,0;78,1
1976;8,5;12,9;15,1;17,1;18,8;19,1;19,6;20,4;21,0;26,9;30,3;38,5;46,4;51,5
1975;7,2;10,2;14,0;16,8;17,1;17,4;17,4;17,9;21,6;23,1;24,0;29,5;37,8;39,1
1974;9,6;10,1;11,2;11,2;13,3;14,5;20,5;23,8;24,3;24,6;25,7;36,8;41,7;42,2
1973;22,7;31,4;33,4;33,4;33,4;38,1;47,5;47,5;47,5;47,5;47,9;47,9;49,2;49,2
1972;16,3;19,0;22,2;32,2;42,1;42,1;45,9;45,9;45,9;45,9;45,9;45,9;47,2;47,2
1971;4,5;6,0;8,6;10,8;13,3;16,6;16,6;16,6;17,2;23,0;23,0;23,0;27,0;27,9
1970;6,3;9,1;12,6;12,6;12,6;14,0;14,5;17,7;23,7;26,6;29,2;31,7;38,6;43,2
1969;4,5;6,0;7,0;8,0;10,5;13,5;15,6;16,3;16,7;17,5;18,3;28,9;31,5;36,8
1968;7,2;14,3;18,8;25,0;34,2;35,6;37,1;41,9;43,8;44,5;44,7;44,7;44,7;44,7
1967;7,0;8,2;8,8;9,9;12,4;15,5;16,4;21,2;25,4;29,2;33,0;34,3;34,3;34,3
1966;6,0;10,0;11,6;19,4;29,8;33,8;34,6;37,8;40,0;42,0;46,3;59,3;68,9;68,9
1965;3,0;5,0;8,0;11,2;12,8;13,8;19,3;24,8;29,6;32,4;42,0;53,1;53,1;55,9
1964;1,0;1,1;2,2;4,3;8,5;16,5;22,0;27,0;27,0;27,0;27,0;36,2;43,9;58,8
1963;10,0;11,0;11,5;12,4;18,2;19,5;24,0;26,4;28,8;34,3;35,8;46,3;71,7;89,2
1962;10,0;13,0;15,0;20,0;24,8;27,8;28,7;28,7;29,0;30,0;34,0;34,5;56,5;59,5
1961;4,0;8,0;9,0;10,0;12,0;13,0;15,0;15,0;15,3;15,3;15,6;16,2;16,2;19,3
1960;5,2;6,0;8,4;9,5;16,5;22,2;28,5;35,0;39,0;42,5;49,5;52,2;55,4;57,9
1959;7,2;14,4;17,5;17,8;17,8;22,0;22,0;22,0;22,0;22,0;22,0;24,2;36,3;48,3
1958;7,0;7,0;7,0;9,0;10,2;16,0;16,0;16,0;16,0;18,2;19,9;19,9;29,9;39,8
1957;10,0;12,5;22,5;22,5;35,0;35,0;35,0;35,0;35,0;35,0;35,0;35,0;35,0;35,2
1956;2,4;2,6;5,0;10,0;10,5;11,8;11,8;11,8;12,4;12,4;14,0;14,3;21,5;28,6
1955;8,0;10,0;10,8;13,5;17,2;26,0;26,0;26,0;26,0;26,0;26,0;26,0;36,8;49,0
1954;5,4;7,0;7,5;8,0;8,5;8,5;8,9;9,6;10,4;12,3;15,2;19,7;29,5;39,3
1953;6,0;7,9;9,4;10,2;11,5;13,8;13,8;14,6;15,7;19,4;20,1;24,6;36,9;49,2
1952;8,2;9,7;10,0;12,0;15,4;19,8;19,8;19,8;19,8;19,8;19,8;21,0;31,5;42,0
1951;4,0;5,2;6,3;8,0;8,0;12,3;12,5;14,6;15,4;17,2;17,2;20,5;30,8;41,0
